ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
101,simple,SKU-001,"Bowl, Large — Moss #1",1,0,visible,,,,,taxable,,1,4,,0,0,,,,,1,,,9.9,Tableware,,,,,,,,,,,,0
102,simple,SKU-002,"Plate, Deep — Slate #2",1,0,visible,,,,,taxable,,1,4,,0,0,,,,,1,,,10.8,Tableware,,,,,,,,,,,,0
103,simple,SKU-003,"Jug, Wide — Cobalt #3",1,0,visible,,,,,taxable,,1,4,,0,0,,,,,1,,,11.7,Tableware,,,,,,,,,,,,0
104,simple,SKU-004,"Tumbler, Tall — Ink #4",1,0,visible,,,,,taxable,,1,4,,0,0,,,,,1,,,12.6,Tableware,,,,,,,,,,,,0
105,simple,SKU-005,"Platter, Small — Bone #5",1,0,visible,,,,,taxable,,1,8,,0,0,,,,,1,,,13.5,Tableware,,,,,,,,,,,,0
106,simple,SKU-006,"Carafe, Large — Sand #6",1,0,visible,,,,,taxable,,1,8,,0,0,,,,,1,,,14.4,Tableware,,,,,,,,,,,,0
107,simple,SKU-007,"Beaker, Deep — Rust #7",1,0,visible,,,,,taxable,,1,8,,0,0,,,,,1,,,15.3,Tableware,,,,,,,,,,,,0
108,simple,SKU-008,"Mug, Wide — Ash #8",1,0,visible,,,,,taxable,,1,5,,0,0,,,,,1,,,16.2,Tableware,,,,,,,,,,,,0
109,simple,SKU-009,"Bowl, Tall — Moss #9",1,0,visible,,,,,taxable,,1,5,,0,0,,,,,1,,,17.1,Tableware,,,,,,,,,,,,0
110,simple,SKU-010,"Plate, Small — Slate #10",1,0,visible,,,,,taxable,,1,5,,0,0,,,,,1,,,18.0,Tableware,,,,,,,,,,,,0
111,simple,SKU-011,"Jug, Large — Cobalt #11",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,18.9,Tableware,,,,,,,,,,,,0
112,simple,SKU-012,"Tumbler, Deep — Ink #12",1,0,visible,,,,,taxable,,1,121,,0,0,,,,,1,,,19.8,Tableware,,,,,,,,,,,,0
113,simple,SKU-013,"Platter, Wide — Bone #13",1,0,visible,,,,,taxable,,1,121,,0,0,,,,,1,,,20.7,Tableware,,,,,,,,,,,,0
114,simple,SKU-014,"Carafe, Tall — Sand #14",1,0,visible,,,,,taxable,,1,121,,0,0,,,,,1,,,21.6,Tableware,,,,,,,,,,,,0
115,simple,SKU-015,"Beaker, Small — Rust #15",1,0,visible,,,,,taxable,,1,121,,0,0,,,,,1,,,22.5,Tableware,,,,,,,,,,,,0
116,simple,SKU-016,"Mug, Large — Ash #16",1,0,visible,,,,,taxable,,1,121,,0,0,,,,,1,,,23.4,Tableware,,,,,,,,,,,,0
117,simple,SKU-017,"Bowl, Deep — Moss #17",1,0,visible,,,,,taxable,,1,121,,0,0,,,,,1,,,24.3,Tableware,,,,,,,,,,,,0
118,simple,SKU-018,"Plate, Wide — Slate #18",1,0,visible,,,,,taxable,,1,121,,0,0,,,,,1,,,25.2,Tableware,,,,,,,,,,,,0
119,simple,SKU-019,"Jug, Tall — Cobalt #19",1,0,visible,,,,,taxable,,1,121,,0,0,,,,,1,,,26.1,Tableware,,,,,,,,,,,,0
120,simple,SKU-020,"Tumbler, Small — Ink #20",1,0,visible,,,,,taxable,,1,121,,0,0,,,,,1,,,27.0,Tableware,,,,,,,,,,,,0
121,simple,SKU-021,"Platter, Large — Bone #21",1,0,visible,,,,,taxable,,1,121,,0,0,,,,,1,,,27.9,Tableware,,,,,,,,,,,,0
122,simple,SKU-022,"Carafe, Deep — Sand #22",1,0,visible,,,,,taxable,,1,121,,0,0,,,,,1,,,28.8,Tableware,,,,,,,,,,,,0
123,simple,SKU-023,"Beaker, Wide — Rust #23",1,0,visible,,,,,taxable,,1,61,,0,0,,,,,1,,,29.7,Tableware,,,,,,,,,,,,0
124,simple,SKU-024,"Mug, Tall — Ash #24",1,0,visible,,,,,taxable,,1,61,,0,0,,,,,1,,,30.6,Tableware,,,,,,,,,,,,0
125,simple,SKU-025,"Bowl, Small — Moss #25",1,0,visible,,,,,taxable,,1,61,,0,0,,,,,1,,,31.5,Tableware,,,,,,,,,,,,0
126,simple,SKU-026,"Plate, Large — Slate #26",1,0,visible,,,,,taxable,,1,61,,0,0,,,,,1,,,32.4,Tableware,,,,,,,,,,,,0
127,simple,SKU-027,"Jug, Deep — Cobalt #27",1,0,visible,,,,,taxable,,1,61,,0,0,,,,,1,,,33.3,Tableware,,,,,,,,,,,,0
128,simple,SKU-028,"Tumbler, Wide — Ink #28",1,0,visible,,,,,taxable,,1,61,,0,0,,,,,1,,,34.2,Tableware,,,,,,,,,,,,0
129,simple,SKU-029,"Platter, Tall — Bone #29",1,0,visible,,,,,taxable,,1,61,,0,0,,,,,1,,,35.1,Tableware,,,,,,,,,,,,0
130,simple,SKU-030,"Carafe, Small — Sand #30",1,0,visible,,,,,taxable,,1,61,,0,0,,,,,1,,,36.0,Tableware,,,,,,,,,,,,0
131,simple,SKU-031,"Beaker, Large — Rust #31",1,0,visible,,,,,taxable,,1,30,,0,0,,,,,1,,,36.9,Tableware,,,,,,,,,,,,0
132,simple,SKU-032,"Mug, Deep — Ash #32",1,0,visible,,,,,taxable,,1,30,,0,0,,,,,1,,,37.8,Tableware,,,,,,,,,,,,0
133,simple,SKU-033,"Bowl, Wide — Moss #33",1,0,visible,,,,,taxable,,1,30,,0,0,,,,,1,,,38.7,Tableware,,,,,,,,,,,,0
