Product Title,SKU,Items Sold,Net Sales,Orders,Category,Variations,Status,Stock
"Bowl, Large — Moss #1",SKU-001,72,712.80,60,Tableware,0,In stock,4
"Tumbler, Tall — Ink #4",SKU-004,72,907.20,60,Tableware,0,In stock,4
"Bowl, Tall — Moss #9",SKU-009,69,1179.90,60,Tableware,0,In stock,5
"Plate, Deep — Slate #2",SKU-002,68,734.40,60,Tableware,0,In stock,4
"Jug, Wide — Cobalt #3",SKU-003,68,795.60,60,Tableware,0,In stock,4
"Mug, Wide — Ash #8",SKU-008,68,1101.60,60,Tableware,0,In stock,5
"Plate, Small — Slate #10",SKU-010,65,1170.00,60,Tableware,0,In stock,5
"Tumbler, Large — Ink #36",SKU-036,58,2401.20,58,Tableware,0,In stock,3
"Jug, Small — Cobalt #35",SKU-035,56,2268.00,56,Tableware,0,In stock,3
"Mug, Large — Ash #16",SKU-016,45,1053.00,45,Tableware,0,In stock,121
"Beaker, Deep — Rust #7",SKU-007,44,673.20,44,Tableware,0,In stock,8
"Platter, Small — Bone #5",SKU-005,39,526.50,39,Tableware,0,In stock,8
"Jug, Large — Cobalt #11",SKU-011,38,718.20,38,Tableware,0,In stock,N/A
"Tumbler, Deep — Ink #12",SKU-012,37,732.60,37,Tableware,0,In stock,121
"Tumbler, Small — Ink #20",SKU-020,36,972.00,36,Tableware,0,In stock,121
"Carafe, Tall — Sand #14",SKU-014,34,734.40,34,Tableware,0,In stock,121
"Bowl, Deep — Moss #17",SKU-017,34,826.20,34,Tableware,0,In stock,121
"Carafe, Large — Sand #6",SKU-006,33,475.20,33,Tableware,0,In stock,8
"Platter, Wide — Bone #13",SKU-013,32,662.40,32,Tableware,0,In stock,121
"Jug, Tall — Cobalt #19",SKU-019,31,809.10,31,Tableware,0,In stock,121
"Platter, Large — Bone #21",SKU-021,31,864.90,31,Tableware,0,In stock,121
"Plate, Wide — Slate #18",SKU-018,29,730.80,29,Tableware,0,In stock,121
"Carafe, Deep — Sand #22",SKU-022,29,835.20,29,Tableware,0,In stock,121
"Beaker, Small — Rust #15",SKU-015,26,585.00,26,Tableware,0,In stock,121
"Platter, Deep — Bone #37",SKU-037,23,972.90,23,Tableware,0,Out of stock,N/A
"Platter, Tall — Bone #29",SKU-029,15,526.50,15,Tableware,0,In stock,61
"Bowl, Small — Moss #25",SKU-025,13,409.50,13,Tableware,0,In stock,61
"Tumbler, Wide — Ink #28",SKU-028,10,342.00,10,Tableware,0,In stock,61
"Carafe, Small — Sand #30",SKU-030,10,360.00,10,Tableware,0,In stock,61
"Beaker, Wide — Rust #23",SKU-023,9,267.30,9,Tableware,0,In stock,61
"Mug, Tall — Ash #24",SKU-024,9,275.40,9,Tableware,0,In stock,61
"Jug, Deep — Cobalt #27",SKU-027,9,299.70,9,Tableware,0,In stock,61
"Plate, Large — Slate #26",SKU-026,8,259.20,8,Tableware,0,In stock,61
